week_start,week_end,KS_cases,NM_cases,TX_cases
2025-01-05,2025-01-11,0,0,0
2025-01-12,2025-01-18,0,0,0
2025-01-19,2025-01-25,0,0,9
2025-01-26,2025-02-01,1,0,24
2025-02-02,2025-02-08,1,0,25
2025-02-09,2025-02-15,0,14,49
2025-02-16,2025-02-22,0,6,71
2025-02-23,2025-03-01,1,8,59
2025-03-02,2025-03-08,1,6,67
2025-03-09,2025-03-15,7,6,64
2025-03-16,2025-03-22,9,3,81
2025-03-23,2025-03-29,6,6,68
2025-03-30,2025-04-05,7,10,69
2025-04-06,2025-04-12,5,5,55
2025-04-13,2025-04-19,2,1,45
2025-04-20,2025-04-26,8,2,24
2025-04-27,2025-05-03,3,5,23
2025-05-04,2025-05-10,9,3,10
2025-05-11,2025-05-17,1,2,8
2025-05-18,2025-05-24,9,2,15
2025-05-25,2025-05-31,2,2,10
2025-06-01,2025-06-07,1,0,1
2025-06-08,2025-06-14,3,0,0
